name,url,country,iata,value,label,id
Aero Continente Dominicana,aero-continente-dominicana-cnd,do,9D ,Aero Continente Dominicana (9D/CND),Aero Continente Dominicana (9D/CND),912
Lineas Aereas Canarias,lineas-aereas-canarias-lcn,es,   ,Lineas Aereas Canarias (/LCN),Lineas Aereas Canarias (/LCN),1523
Niger Air Continental,niger-air-continental-ncn,ne,N9 ,Niger Air Continental (N9/NCN),Niger Air Continental (N9/NCN),556
JAL Express,jal-express-jex,jp,JC ,JAL Express (JC/JEX),JAL Express (JC/JEX),413
Majestic Air,majestic-air-mjc,zw,6M ,Majestic Air (6M/MJC),Majestic Air (6M/MJC),988
Israir Airlines and Tourism,israir-airlines-and-tourism-isr,il,6H ,Israir Airlines and Tourism (6H/ISR),Israir Airlines and Tourism (6H/ISR),963
Jeju Air,jeju-air-jja,kr,7C ,Jeju Air (7C/JJA),Jeju Air (7C/JJA),1090
Air Djibouti,air-djibouti-dju,dj,DY ,Air Djibouti (DY/DJU),Air Djibouti (DY/DJU),236
Jatayu Gelang Sejahtera,jatayu-gelang-sejahtera-jty,id,VJ ,Jatayu Gelang Sejahtera (VJ/JTY),Jatayu Gelang Sejahtera (VJ/JTY),421
Coyne Airways,coyne-airways-coy,gb,7C ,Coyne Airways (7C/COY),Coyne Airways (7C/COY),913
JALWays,jalways-jaz,jp,JO ,JALWays (JO/JAZ),JALWays (JO/JAZ),408
Karat Joint,karat-joint-akt,ru,V2 ,Karat Joint (V2/AKT),Karat Joint (V2/AKT),49
Joint Stock Company Enkor,joint-stock-company-enkor-enk,ru,G5 ,Joint Stock Company Enkor (G5/ENK),Joint Stock Company Enkor (G5/ENK),267
Japan Transocean Air,japan-transocean-air-jta,jp,NU ,Japan Transocean Air (NU/JTA),Japan Transocean Air (NU/JTA),420
DOT LT,dot-lt-dnu,lt,R6 ,DOT LT (R6/DNU),DOT LT (R6/DNU),1134
Japan Asia Airways,japan-asia-airways-jaa,jp,EG ,Japan Asia Airways (EG/JAA),Japan Asia Airways (EG/JAA),405
L.A.B. Flying Service,lab-flying-service-lab,us,JF ,L.A.B. Flying Service (JF/LAB),L.A.B. Flying Service (JF/LAB),453
LATPASS Airlines,latpass-airlines-ltp,lv,QJ ,LATPASS Airlines (QJ/LTP),LATPASS Airlines (QJ/LTP),494
Aurela,aurela-lsk,lt,   ,Aurela (/LSK),Aurela (/LSK),1091
Atlantis Airlines,atlantis-airlines-als,sn,9V ,Atlantis Airlines (9V/ALS),Atlantis Airlines (9V/ALS),878
SpiceJet,spicejet-sej,in,SG ,SpiceJet (SG/SEJ),SpiceJet (SG/SEJ),1118
Jetsgo Corporation,jetsgo-corporation-jgo,ca,SG ,Jetsgo Corporation (SG/JGO),Jetsgo Corporation (SG/JGO),414
P.T. Sempati Air,pt-sempati-air-ssr,id,SG ,P.T. Sempati Air (SG/SSR),P.T. Sempati Air (SG/SSR),726
Wasaya Airways,wasaya-airways-wsg,ca,WG ,Wasaya Airways (WG/WSG),Wasaya Airways (WG/WSG),852
British Island Airways,british-island-airways-bia,gb,KD ,British Island Airways (KD/BIA),British Island Airways (KD/BIA),1445
Kendell Airlines,kendell-airlines-kda,au,KD ,Kendell Airlines (KD/KDA),Kendell Airlines (KD/KDA),1588
Malta Air Charter,malta-air-charter-mac,mt,R5 ,Malta Air Charter (R5/MAC),Malta Air Charter (R5/MAC),504
Western Airlines,western-airlines-wal,us,WA ,Western Airlines (WA/WAL),Western Airlines (WA/WAL),1305
