name,url,country,iata,value,label,id
Sounds Air,sounds-air-sda,nz,SA ,Sounds Air (SA/SDA),Sounds Air (SA/SDA),1255
US Air,us-air-usa,us,US ,US Air (US/USA),US Air (US/USA),1401
Balair,balair-bbb,ch,BB ,Balair (BB/BBB),Balair (BB/BBB),1344
Santa Barbara Airlines,santa-barbara-airlines-bbr,ve,S3 ,Santa Barbara Airlines (S3/BBR),Santa Barbara Airlines (S3/BBR),119
Sayany Airlines,sayany-airlines-syl,ru,Y8 ,Sayany Airlines (Y8/SYL),Sayany Airlines (Y8/SYL),747
Finnaviation,finnaviation-fav,fi,FA ,Finnaviation (FA/FAV),Finnaviation (FA/FAV),1490
Safair,safair-sfr,za,FA ,Safair (FA/SFR),Safair (FA/SFR),696
SATA Air Acores,sata-air-acores-sat,pt,SP ,SATA Air Acores (SP/SAT),SATA Air Acores (SP/SAT),678
VASP,vasp-vsp,br,VP ,VASP (VP/VSP),VASP (VP/VSP),853
Sibaviatrans,sibaviatrans-sib,ru,5M ,Sibaviatrans (5M/SIB),Sibaviatrans (5M/SIB),1027
Blue Islands,blue-islands-bci,uk,SI ,Blue Islands (SI/BCI),Blue Islands (SI/BCI),1331
Sierra Pacific Airlines,sierra-pacific-airlines-spa,us,SI ,Sierra Pacific Airlines (SI/SPA),Sierra Pacific Airlines (SI/SPA),1292
Susi Air,susi-air-sia,id,SI ,Susi Air (SI/SIA),Susi Air (SI/SIA),1575
SITA,sita-sit,be,XS ,SITA (XS/SIT),SITA (XS/SIT),706
Executive AirShare,executive-airshare-xsr,us,   ,Executive AirShare (/XSR),Executive AirShare (/XSR),1643
Aviandina,aviandina-vnd,pe,SJ ,Aviandina (SJ/VND),Aviandina (SJ/VND),844
South Pacific Air Charters,south-pacific-air-charters-fom,nz,SJ ,South Pacific Air Charters (SJ/FOM),South Pacific Air Charters (SJ/FOM),310
Direct Fly,direct-fly-sxp,pl,   ,Direct Fly (/SXP),Direct Fly (/SXP),1568
Aberdeen Airways,aberdeen-airways-aaw,gb,SM ,Aberdeen Airways (SM/AAW),Aberdeen Airways (SM/AAW),1207
Leiguflug Isleifs Ottesen,leiguflug-isleifs-ottesen-lio,is,   ,Leiguflug Isleifs Ottesen (/LIO),Leiguflug Isleifs Ottesen (/LIO),1157
Yangon Airways,yangon-airways-fsc,mm,YH ,Yangon Airways (YH/FSC),Yangon Airways (YH/FSC),1516
Ural Airlines,ural-airlines-svr,ru,U6 ,Ural Airlines (U6/SVR),Ural Airlines (U6/SVR),740
SVG Air,svg-air-svg,vc,   ,SVG Air (/SVG),SVG Air (/SVG),1262
WinAir Airlines,winair-airlines-wna,us,   ,WinAir Airlines (/WNA),WinAir Airlines (/WNA),1609
Star Peru,star-peru-sru,pe,2I ,Star Peru (2I/SRU),Star Peru (2I/SRU),1181
Swe Fly,swe-fly-swv,se,WV ,Swe Fly (WV/SWV),Swe Fly (WV/SWV),743
Aero VIP,aero-vip-rvp,pt,WV ,Aero VIP (WV/RVP),Aero VIP (WV/RVP),1659
Silk Way Airlines,silk-way-airlines-azq,az,ZP ,Silk Way Airlines (ZP/AZQ),Silk Way Airlines (ZP/AZQ),108
Air St. Thomas,air-st-thomas-stt,us,ZP ,Air St. Thomas (ZP/STT),Air St. Thomas (ZP/STT),727
Allegheny Airlines,allegheny-airlines-alo,us,AL ,Allegheny Airlines (AL/ALO),Allegheny Airlines (AL/ALO),1213
Southern Air,southern-air-soo,us,9S ,Southern Air (9S/SOO),Southern Air (9S/SOO),1032
Chanchangi Airlines Nigeria,chanchangi-airlines-nigeria-nch,ng,3U ,Chanchangi Airlines Nigeria (3U/NCH),Chanchangi Airlines Nigeria (3U/NCH),995
Sun d'Or International Airlines,sun-dor-international-airlines-ero,il,7L ,Sun d'Or International Airlines (7L/ERO),Sun d'Or International Airlines (7L/ERO),933
Air Belfast,air-belfast-7l,gb,7L ,Air Belfast (7L/7L0),Air Belfast (7L/7L0),1483
Southern Airways,southern-airways-sou,us,SO ,Southern Airways (SO/SOU),Southern Airways (SO/SOU),1214
Norcanair,norcanair-nka,ca,NK ,Norcanair (NK/NKA),Norcanair (NK/NKA),1199
Lankair,lankair-lkn,lk,IL ,Lankair (IL/LKN),Lankair (IL/LKN),476
Cape York Air,cape-york-air-ns,au,NS ,Cape York Air (NS/NS0),Cape York Air (NS/NS0),1242
Northeast Airlines,northeast-airlines-ns0,gb,NS ,Northeast Airlines (NS/NS0),Northeast Airlines (NS/NS0),1453
Sierra National Airlines,sierra-national-airlines-sla,sl,LJ ,Sierra National Airlines (LJ/SLA),Sierra National Airlines (LJ/SLA),712
Zoom Airlines,zoom-airlines-oom,ca,Z4 ,Zoom Airlines (Z4/OOM),Zoom Airlines (Z4/OOM),589
Istanbul Airlines,istanbul-airlines-ist,tr,IL ,Istanbul Airlines (IL/IST),Istanbul Airlines (IL/IST),1247
Solomon Airlines,solomon-airlines-sol,sb,IE ,Solomon Airlines (IE/SOL),Solomon Airlines (IE/SOL),718
Eagle Aviation,eagle-aviation-eqa,ke,Y4 ,Eagle Aviation (Y4/EQA),Eagle Aviation (Y4/EQA),268
Transportes Aereos Mercantiles Panamericanos,transportes-aereos-mercantiles-panamericanos-tpa,co,QT ,Transportes Aereos Mercantiles Panamericanos (QT/TPA),Transportes Aereos Mercantiles Panamericanos (QT/TPA),784
ATA Airlines,ata-airlines-amt,us,TZ ,ATA Airlines (TZ/AMT),ATA Airlines (TZ/AMT),60
Air Mandalay,air-mandalay-lmt,mm,6T ,Air Mandalay (6T/LMT),Air Mandalay (6T/LMT),1196
Almaty Aviation,almaty-aviation-lmt,kz,6T ,Almaty Aviation (6T/LMT),Almaty Aviation (6T/LMT),982
Star Air,star-air-stq,id,5H ,Star Air (5H/STQ),Star Air (5H/STQ),1035
Air Zambezi,air-zambezi-tzt,zw,ZT ,Air Zambezi (ZT/TZT),Air Zambezi (ZT/TZT),806
One-Two-GO Airlines,one-two-go-airlines-otg,th,OG ,One-Two-GO Airlines (OG/OTG),One-Two-GO Airlines (OG/OTG),1626
Aircompany Trans Asian Airlines,aircompany-trans-asian-airlines-srt,kz,T7 ,Aircompany Trans Asian Airlines (T7/SRT),Aircompany Trans Asian Airlines (T7/SRT),725
TransAer,transaer-tla,ie,T7 ,TransAer (T7/TLA),TransAer (T7/TLA),1525
Inter Tropical Aviation,inter-tropical-aviation-tcu,sr,3P ,Inter Tropical Aviation (3P/TCU),Inter Tropical Aviation (3P/TCU),1038
Tol Air Services,tol-air-services-tol,pr,TI ,Tol Air Services (TI/TOL),Tol Air Services (TI/TOL),782
Tropic Air Limited,tropic-air-limited-tos,bz,PM ,Tropic Air Limited (PM/TOS),Tropic Air Limited (PM/TOS),783
Turkish Air Force,turkish-air-force-hvk,tr,   ,Turkish Air Force (/HVK),Turkish Air Force (/HVK),1596
VIA Rail Canada,via-rail-canada-vrr,ca,2R ,VIA Rail Canada (2R/VRR),VIA Rail Canada (2R/VRR),1066
TunisAir Express,tunisair-express-tux,tn,UG ,TunisAir Express (UG/TUX),TunisAir Express (UG/TUX),1582
Athens Airways,athens-airways-atw,gr,ZF ,Athens Airways (ZF/ATW),Athens Airways (ZF/ATW),1472
Tassili Airlines,tassili-airlines-dth,dz,SF ,Tassili Airlines (SF/DTH),Tassili Airlines (SF/DTH),246
TAAG,taag-dta,ao,DT ,TAAG (DT/DTA),TAAG (DT/DTA),245
TAM,tam-lap,py,PZ ,TAM (PZ/LAP),TAM (PZ/LAP),459
Turan Air Airline,turan-air-airline-urn,az,3T ,Turan Air Airline (3T/URN),Turan Air Airline (3T/URN),1058
Ted,ted-ual,us,UA ,Ted (UA/UAL),Ted (UA/UAL),1235
Panavia,panavia-pnv,pa,6Z ,Panavia (6Z/PNV),Panavia (6Z/PNV),1015
Ukrainian Cargo Airways,ukrainian-cargo-airways-uks,ua,6Z ,Ukrainian Cargo Airways (6Z/UKS),Ukrainian Cargo Airways (6Z/UKS),1053
Air Orient,air-orient-ort,fr,UT ,Air Orient (UT/ORT),Air Orient (UT/ORT),592
German Sky Airlines,german-sky-airlines-de,de,   ,German Sky Airlines (/GHY),German Sky Airlines (/GHY),1382
Eurasia Aircompany,eurasia-aircompany-eus,ru,UH ,Eurasia Aircompany (UH/EUS),Eurasia Aircompany (UH/EUS),280
Air Horizons,air-horizons-euh,fr,RN ,Air Horizons (RN/EUH),Air Horizons (RN/EUH),278
Viasa,viasa-via,ve,VA ,Viasa (VA/VIA),Viasa (VA/VIA),1195
Volaris,volaris-voi,mx,Y4 ,Volaris (Y4/VOI),Volaris (Y4/VOI),1327
Trans International Airlines,trans-international-airways-tva,us,TV ,Trans International Airlines (TV/TVA),Trans International Airlines (TV/TVA),1618
Avanti Air,avanti-air-atv,de,   ,Avanti Air (/ATV),Avanti Air (/ATV),1466
Citilink,citilink-ctv,id,QG ,Citilink (QG/CTV),Citilink (QG/CTV),1640
V BIRD Airlines,v-bird-airlines-vba,nl,VX ,V BIRD Airlines (VX/VBA),V BIRD Airlines (VX/VBA),825
Virgin Express Ireland,virgin-express-ireland-vei,ie,VK ,Virgin Express Ireland (VK/VEI),Virgin Express Ireland (VK/VEI),1489
Loganair,loganair-log,gb,LC ,Loganair (LC/LOG),Loganair (LC/LOG),1271
Welcome Air,welcome-air-wlc,at,2W ,Welcome Air (2W/WLC),Welcome Air (2W/WLC),1064
Classic Air,classic-air-clc,ch,   ,Classic Air (/CLC),Classic Air (/CLC),1340
Labrador Airways,labrador-airways-lal,ca,WJ ,Labrador Airways (WJ/LAL),Labrador Airways (WJ/LAL),455
Wind Jet,wind-jet-jet,it,IV ,Wind Jet (IV/JET),Wind Jet (IV/JET),411
West African Airlines,west-african-airlines-wsf,bj,WZ ,West African Airlines (WZ/WSF),West African Airlines (WZ/WSF),851
WorldSpan,worldspan-wsp,us,1P ,WorldSpan (1P/WSP),WorldSpan (1P/WSP),1068
West Isle Air,west-isle-air-wil,us,W6 ,West Isle Air (W6/WIL),West Isle Air (W6/WIL),833
STAR Airlines,star-airlines-seu,fr,SE ,STAR Airlines (SE/SEU),STAR Airlines (SE/SEU),693
Ghana Airways,ghana-airways-gha,gh,GH ,Ghana Airways (GH/GHA),Ghana Airways (GH/GHA),326
NordStar Airlines,nordstar-airlines-tya,ru,Y7 ,NordStar Airlines (Y7/TYA),NordStar Airlines (Y7/TYA),1473
Kas Air Company,kas-air-company-ksk,kz,KW ,Kas Air Company (KW/KSK),Kas Air Company (KW/KSK),449
Red Wings Airlines,red-wings-airlines-rwz,ru,WZ ,Red Wings Airlines (WZ/RWZ),Red Wings Airlines (WZ/RWZ),1371
State Enterprise Gomelavia,state-enterprise-gomelavia-gom,by,YD ,State Enterprise Gomelavia (YD/GOM),State Enterprise Gomelavia (YD/GOM),335
OAG Worldwide,oag-worldwide-xxd,us,XD ,OAG Worldwide (XD/XXD),OAG Worldwide (XD/XXD),864
Aeronautical Telecommunications,aeronautical-telecommunications-xxi,jm,XI ,Aeronautical Telecommunications (XI/XXI),Aeronautical Telecommunications (XI/XXI),866
LAM,lam-lam,mz,TM ,LAM (TM/LAM),LAM (TM/LAM),456
Arizona Express Airlines,arizona-express-airlines-tmp,us,K7 ,Arizona Express Airlines (K7/TMP),Arizona Express Airlines (K7/TMP),779
Air Arabia Maroc,air-arabia-maroc-mac,ma,3O ,Air Arabia Maroc (3O/MAC),Air Arabia Maroc (3O/MAC),1549
Styrian Airways,styrian-airways-sty,at,Z2 ,Styrian Airways (Z2/STY),Styrian Airways (Z2/STY),729
Aerocaribe,aerocaribe-cbe,mx,QA ,Aerocaribe (QA/CBE),Aerocaribe (QA/CBE),170
Kirovavia,kirovavia-kta,ru,   ,Kirovavia (/KTA),Kirovavia (/KTA),1514
QuikAir,quikair-qaj,ca,QA ,QuikAir (QA/QAJ),QuikAir (QA/QAJ),1619
CEIBA Intercontinental,ceiba-intercontinental-cel,gq,C2 ,CEIBA Intercontinental (C2/CEL),CEIBA Intercontinental (C2/CEL),1658
Morris Air,morris-air-mss,us,KN ,Morris Air (KN/MSS),Morris Air (KN/MSS),1293
Kan Air,kan-air-knd,th,   ,Kan Air (/KND),Kan Air (/KND),1507
Pelita Air Service,pelita-air-service-pas,id,6D ,Pelita Air Service (6D/PAS),Pelita Air Service (6D/PAS),1008
Air Polonia,air-polonia-apn,pl,4P ,Air Polonia (4P/APN),Air Polonia (4P/APN),1426
Air Cal,air-cal-acl,us,OC ,Air Cal (OC/ACL),Air Cal (OC/ACL),1304
Mid Airlines,mid-airlines-nyl,sd,7Y ,Mid Airlines (7Y/NYL),Mid Airlines (7Y/NYL),1003
Air Montreal,air-montreal-amo,ca,F8 ,Air Montreal (F8/AMO),Air Montreal (F8/AMO),59
Enter Air,enter-air-ent,pl,   ,Enter Air (/ENT),Enter Air (/ENT),1263
Bulgarian Air Charter,bulgarian-air-charter-buc,bg,   ,Bulgarian Air Charter (/BUC),Bulgarian Air Charter (/BUC),1317
SprintAir,sprintair-srn,pl,   ,SprintAir (/SRN),SprintAir (/SRN),1354
South East Air,south-east-air-sea,uk,   ,South East Air (/SEA),South East Air (/SEA),1431
Air Scotland,air-scotland-gre,gb,   ,Air Scotland (/GRE),Air Scotland (/GRE),1468
Bin Air,bin-air-bid,de,   ,Bin Air (/BID),Bin Air (/BID),1484
Amigo Airways,amigo-airways-na0,ca,   ,Amigo Airways (/NA0),Amigo Airways (/NA0),1508
Air Operations of Europe,air-operations-of-europe-alf,se,   ,Air Operations of Europe (/ALF),Air Operations of Europe (/ALF),1404
Translift Airways,translift-airways-tlf,ie,   ,Translift Airways (/TLF),Translift Airways (/TLF),1526
Orca Airways,orca-airways-ork,ca,   ,Orca Airways (/ORK),Orca Airways (/ORK),1321
Osh-Avia,osh-avia-osh,kg,   ,Osh-Avia (/OSH),Osh-Avia (/OSH),1256
ExpressAir,expressair-na0,ca,   ,ExpressAir (/NA0),ExpressAir (/NA0),1510
AmazonAir,amazonair-ama,ve,   ,AmazonAir (/AMA),AmazonAir (/AMA),1479
Aerovias DAP,aerovias-dap-dap,cl,   ,Aerovias DAP (/DAP),Aerovias DAP (/DAP),1608
Angara Airlines,angara-airlines-agu,ru,   ,Angara Airlines (/AGU),Angara Airlines (/AGU),1600
Lebanese International Airways,lebanese-international-airways-lia,lb,   ,Lebanese International Airways (/LIA),Lebanese International Airways (/LIA),1616
Polish Air Force,polish-air-force-plf,pl,   ,Polish Air Force (/PLF),Polish Air Force (/PLF),1641
Venus Airlines,venus-airlines-ver,gr,   ,Venus Airlines (/VER),Venus Airlines (/VER),1584
National Airlines,national-airlines-nan,us,   ,National Airlines (/NAN),National Airlines (/NAN),1520
Brazilian Air Force,brazilian-air-force-brs,br,   ,Brazilian Air Force (/BRS),Brazilian Air Force (/BRS),1538
Tomsk Avia,tomsk-avia-tsk,ru,   ,Tomsk Avia (/TSK),Tomsk Avia (/TSK),1320
Kalahari Express Airlines,http://en.wikipedia.org/wiki/Kalahari_Express_Airlines,na,   ,Kalahari Express Airlines (/KEA),Kalahari Express Airlines (/KEA),1558
ARP 410 Airlines,air-410-airlines-urp,ua,   ,ARP 410 Airlines (/URP),ARP 410 Airlines (/URP),1560
Capitol Air Express,capitol-air-express-cex,us,   ,Capitol Air Express (/CEX),Capitol Air Express (/CEX),1573
Harbour Air,harbour-air-hes,ca,H3 ,Harbour Air (H3/HES),Harbour Air (H3/HES),1509
Tor Air,tor-air-oai,se,OD ,Tor Air (OD/OAI),Tor Air (OD/OAI),1267
Sayakhat Airlines,sayakhat-airlines-sah,kz,W7 ,Sayakhat Airlines (W7/SAH),Sayakhat Airlines (W7/SAH),673
Khors Aircompany,khors-aircompany-kho,ua,X9 ,Khors Aircompany (X9/KHO),Khors Aircompany (X9/KHO),434
International Air Transport Association,international-air-transport-association-iat,ca,XB ,International Air Transport Association (XB/IAT),International Air Transport Association (XB/IAT),374
Baseops International,baseops-international-xbo,us,3Y ,Baseops International (3Y/XBO),Baseops International (3Y/XBO),1072
Mistral Air,mistral-air-msa,it,7M ,Mistral Air (7M/MSA),Mistral Air (7M/MSA),1604
Mercury Air Cargo,mercury-air-cargo-mec,us,4X ,Mercury Air Cargo (4X/MEC),Mercury Air Cargo (4X/MEC),987
Corendon Airlines,corendon-airlines-cai,tr,7H ,Corendon Airlines (7H/CAI),Corendon Airlines (7H/CAI),1232
Air Routing International Corp.,air-routing-international-corp-arc,us,ZJ ,Air Routing International Corp. (ZJ/ARC),Air Routing International Corp. (ZJ/ARC),76
Scenic Airlines,scenic-airlines-sce,us,YR ,Scenic Airlines (YR/SCE),Scenic Airlines (YR/SCE),1343
Deer Jet,deer-jet-der,cn,DF ,Deer Jet (DF/DER),Deer Jet (DF/DER),228
Scoot,scoot-sco,sg,TZ ,Scoot (TZ/SCO),Scoot (TZ/SCO),1621
Air Bourbon,air-bourbon-bub,fr,ZN ,Air Bourbon (ZN/BUB),Air Bourbon (ZN/BUB),155
Yanda Airlines,yanda-airlines-yea,au,YA ,Yanda Airlines (YA/YEA),Yanda Airlines (YA/YEA),1200
Aerolineas Pacifico Atlantico,aerolineas-pacifico-atlantico-app,pa,WL ,Aerolineas Pacifico Atlantico (WL/APP),Aerolineas Pacifico Atlantico (WL/APP),74
Aerolineas Sosa,aerolineas-sosa-nso,hn,P4 ,Aerolineas Sosa (P4/NSO),Aerolineas Sosa (P4/NSO),1175
Delta Air Transport,delta-air-transport-dat,be,QG ,Delta Air Transport (QG/DAT),Delta Air Transport (QG/DAT),1222
Insel Air,insel-air-inc,an,7I ,Insel Air (7I/INC),Insel Air (7I/INC),1108
MAP Linhas Aereas,map-linhas-aereas-pam,br,M1 ,MAP Linhas Aereas (M1/PAM),MAP Linhas Aereas (M1/PAM),1653
Aeronautical Radio,aeronautical-radio-xaa,us,XA ,Aeronautical Radio (XA/XAA),Aeronautical Radio (XA/XAA),860
Euralair International,euralair-international-erl,fr,RN ,Euralair International (RN/ERL),Euralair International (RN/ERL),270
Aviones de Oriente,aviones-de-oriente-roi,ve,9V ,Aviones de Oriente (9V/ROI),Aviones de Oriente (9V/ROI),1021
Euro-Asia International,euro-asia-international-eak,kz,5B ,Euro-Asia International (5B/EAK),Euro-Asia International (5B/EAK),924
