name,url,country,iata,lon,value,label,icao,lat,id
Ruhnu / Ruhnu,ruhnu-ruhnu-eeru,ee,NA0,23.266,Ruhnu / Ruhnu (NA0/EERU),Ruhnu / Ruhnu (NA0/EERU),EERU,57.784,4870
Rumjatar / Rumjatar,rumjatar-rumjatar-vnrt,np,RUM,86.550556,Rumjatar / Rumjatar (RUM/VNRT),Rumjatar / Rumjatar (RUM/VNRT),VNRT,27.303611,3828
Rundu / Rundu,rundu-rundu-faru,na,NDU,19.71943,Rundu / Rundu (NDU/FARU),Rundu / Rundu (NDU/FARU),FARU,-17.9564,4030
Rurrenabaque / Rurrenabaque,rurrenabaque-rurrenabaque-slrq,bo,RBQ,-67.498889,Rurrenabaque / Rurrenabaque (RBQ/SLRQ),Rurrenabaque / Rurrenabaque (RBQ/SLRQ),SLRQ,-14.426667,2483
Rurutu Austral I / Rurutu Tubuai I,rurutu-austral-i-rurutu-tubuai-i-ntar,pf,RUR,-151.367778,Rurutu Austral I / Rurutu Tubuai I (RUR/NTAR),Rurutu Austral I / Rurutu Tubuai I (RUR/NTAR),NTAR,-22.430833,2572
Ruteng / Satar Tacik,ruteng-satar-tacik-wrkg,in,RTG,120.477,Ruteng / Satar Tacik (RTG/WRKG),Ruteng / Satar Tacik (RTG/WRKG),WRKG,-8.59701,4481
Rygge / Moss,rygge-moss-enry,no,RYG,10.78555,Rygge / Moss (RYG/ENRY),Rygge / Moss (RYG/ENRY),ENRY,59.378889,3637
Rzeszow / Jasionka,rzeszow-jasionka-eprz,pl,RZE,22.019,Rzeszow / Jasionka (RZE/EPRZ),Rzeszow / Jasionka (RZE/EPRZ),EPRZ,50.109958,2581
S C De Bariloche / San Carlos De Bariloche,s-c-de-bariloche-san-carlos-de-bariloche-sazs,ar,BRC,-71.157778,S C De Bariloche / San Carlos De Bariloche (BRC/SAZS),S C De Bariloche / San Carlos De Bariloche (BRC/SAZS),SAZS,-41.151111,394
Saarbrucken / Saarbrucken,saarbrucken-saarbrucken-eddr,de,SCN,7.109508,Saarbrucken / Saarbrucken (SCN/EDDR),Saarbrucken / Saarbrucken (SCN/EDDR),EDDR,49.214553,2607
Saba / Juancho E. Yrausquin,saba-juancho-e-yrausquin-tncs,an,SAB,-63.22,Saba / Juancho E. Yrausquin (SAB/TNCS),Saba / Juancho E. Yrausquin (SAB/TNCS),TNCS,17.645,4417
Sabang / Maimun Saleh,sabang-maimun-saleh-wiaa,in,SBG,95.33967,Sabang / Maimun Saleh (SBG/WIAA),Sabang / Maimun Saleh (SBG/WIAA),WIAA,5.874131,4462
Sachs Harbour / Sachs Harbour,sachs-harbour-sachs-harbour-cysy,ca,YSY,-125.2425,Sachs Harbour / Sachs Harbour (YSY/CYSY),Sachs Harbour / Sachs Harbour (YSY/CYSY),CYSY,71.993833,3441
Sacramento / McClellan AFB,sacramento-mcclellan-afb-kmcc,us,MCC,-121.400611,Sacramento / McClellan AFB (MCC/KMCC),Sacramento / McClellan AFB (MCC/KMCC),KMCC,38.667639,1761
Sacramento / Sacramento Executive,sacramento-sacramento-executive-ksac,us,SAC,-121.493469,Sacramento / Sacramento Executive (SAC/KSAC),Sacramento / Sacramento Executive (SAC/KSAC),KSAC,38.512522,2584
Sacramento / Sacramento Mather,sacramento-sacramento-mather-kmhr,us,MHR,-121.29725,Sacramento / Sacramento Mather (MHR/KMHR),Sacramento / Sacramento Mather (MHR/KMHR),KMHR,38.555261,1829
Sacramento / Sacramento,sacramento-sacramento-ksmf,us,SMF,-121.590778,Sacramento / Sacramento (SMF/KSMF),Sacramento / Sacramento (SMF/KSMF),KSMF,38.695417,2718
Safi / Safi,safi-safi-gmms,ma,SFI,-9.233,Safi / Safi (SFI/GMMS),Safi / Safi (SFI/GMMS),GMMS,32.283,4176
Saga / Saga,saga-saga-rjfs,jp,HSG,130.302222,Saga / Saga (HSG/RJFS),Saga / Saga (HSG/RJFS),RJFS,33.149722,4957
Saginaw / Mbs,saginaw-mbs-kmbs,us,MBS,-84.0796,Saginaw / Mbs (MBS/KMBS),Saginaw / Mbs (MBS/KMBS),KMBS,43.53291,4584
Saidpur / Saidpur,saidpur-saidpur-vgsd,bd,SPD,88.908469,Saidpur / Saidpur (SPD/VGSD),Saidpur / Saidpur (SPD/VGSD),VGSD,25.760375,2750
Saidu Sharif / Saidu Sharif,saidu-sharif-saidu-sharif-opss,pk,SDT,72.352814,Saidu Sharif / Saidu Sharif (SDT/OPSS),Saidu Sharif / Saidu Sharif (SDT/OPSS),OPSS,34.813556,2623
Saint Brieuc / Saint Brieuc Armor,saint-brieuc-saint-brieuc-armor-lfrt,fr,SBK,-2.856667,Saint Brieuc / Saint Brieuc Armor (SBK/LFRT),Saint Brieuc / Saint Brieuc Armor (SBK/LFRT),LFRT,48.5375,2598
Saint Croix / Saint Croix,saint-croix-saint-croix-vi32,vi,SSB,-64.75,Saint Croix / Saint Croix (SSB/VI32),Saint Croix / Saint Croix (SSB/VI32),VI32,17.75,4707
Saint Etienne / Saint Etienne Boutheon,saint-etienne-saint-etienne-boutheon-lfmh,fr,EBU,4.297222,Saint Etienne / Saint Etienne Boutheon (EBU/LFMH),Saint Etienne / Saint Etienne Boutheon (EBU/LFMH),LFMH,45.534167,781
Saint George / St. George (old),saint-george-st-george-old-ksgu,us,SGU,-113.59124,Saint George / St. George (old) (SGU/KSGU),Saint George / St. George (old) (SGU/KSGU),KSGU,37.09737,3781
Saint George / St. George,saint-george-st-george-kdxz,us,SGU,-113.510306,Saint George / St. George (SGU/KDXZ),Saint George / St. George (SGU/KDXZ),KDXZ,37.036389,3782
